vehicleID,registrationDate,kilometers,colour,aestheticGrade,mechanicalGrade,saleDate,make,model,doorNumber,type,fuel,transmission,yearIntroduced,cylinder,cubeCapacity,powerKW,powerHP,targetPrice
V_1232,23/01/2022,8984,Red,Very Good,Very Good,07/11/2022,HYUNDAI,Kauai,5,Hatchback,Petrol,Manual,2017,10,998,88,120,17300
V_1233,23/01/2017,127566,Red,Bad,Good,20/08/2022,NISSAN,Juke,5,Hatchback,Diesel,Manual,2010,15,1461,81,110,8800
V_1234,23/01/2017,127566,Red,Bad,Good,13/09/2022,NISSAN,Juke,5,Hatchback,Diesel,Manual,2010,15,1461,81,110,9600
V_1235,23/01/2017,127566,Red,Bad,Good,16/08/2022,NISSAN,Juke,5,Hatchback,Diesel,Manual,2010,15,1461,81,110,8500
V_1236,23/01/2016,108759,Black,Bad,Very Good,09/05/2022,VOLKSWAGEN,Golf,5,Estate,Diesel,Automatic,2013,16,1598,77,105,11300
V_1237,23/01/2016,185798,Black,Bad,Medium,01/06/2022,NISSAN,Qashqai,5,Estate,Diesel,Manual,2009,16,1598,96,130,12200
V_1238,23/01/2016,185798,Black,Bad,Medium,08/06/2022,NISSAN,Qashqai,5,Estate,Diesel,Manual,2009,16,1598,96,130,11700
V_1239,23/01/2013,179959,Black,Bad,Medium,18/05/2022,RENAULT,Clio,5,Estate,Diesel,Manual,2009,15,1461,66,90,3900
V_12310,23/01/2013,195703,Grey,Medium,Bad,16/11/2022,FORD,Focus,5,Estate,Diesel,Manual,2008,16,1560,80,109,2700
V_12311,23/01/2013,197582,Black,Very Bad,Bad,28/08/2022,ALFA ROMEO,Giulietta,5,Hatchback,Diesel,Manual,2010,16,1598,77,105,4900
V_12312,23/01/2012,246097,Grey,Bad,Bad,04/05/2022,BMW,Serie-1,5,Hatchback,Diesel,Manual,2007,20,1995,85,116,7200
V_12313,23/01/2012,122914,Grey,Medium,Good,15/05/2022,FIAT,Grande Punto,5,Hatchback,Petrol,Manual,2008,12,1242,48,65,3500
V_12314,23/01/2012,146359,Red,Very Bad,Bad,07/11/2022,FORD,Fiesta,5,Hatchback,Petrol,Manual,2008,12,1242,60,82,3800
V_12315,23/01/2011,191474,Blue,Good,Medium,30/11/2031,VOLKSWAGEN,Golf,5,Hatchback,Diesel,Manual,2008,20,1968,81,110,6800
V_12316,23/01/2011,196581,Grey,Medium,Good,04/06/2022,TOYOTA,Auris,5,Hatchback,Diesel,Manual,2007,14,1364,66,90,5300
V_12317,23/01/2011,333935,Blue,Medium,Bad,20/09/2022,VOLKSWAGEN,Golf,5,Hatchback,Diesel,Manual,2008,20,1968,81,110,4400
V_12318,23/01/2011,132421,Black,Very Bad,Bad,12/12/2022,NISSAN,Tiida,5,Hatchback,Diesel,Manual,2007,15,1461,78,105,2500
V_12319,23/01/2011,227818,Grey,Very Bad,Medium,09/11/2022,NISSAN,Qashqai,5,Estate,Diesel,Manual,2007,15,1461,78,106,4200
V_12320,23/01/2011,221534,Blue,Bad,Bad,19/12/2022,MERCEDES-BENZ,Classe A,5,Hatchback,Diesel,Manual,2001,17,1689,55,75,1300
V_12321,23/01/2011,221513,Blue,Bad,Bad,12/12/2022,MERCEDES-BENZ,Classe A,5,Hatchback,Diesel,Manual,2001,17,1689,55,75,1800
V_12322,23/01/2011,178604,Grey,Medium,Bad,04/05/2022,FIAT,Grande Punto,5,Hatchback,Petrol,Manual,2008,12,1242,48,65,2500
V_12323,23/01/2011,264843,Black,Very Bad,Medium,26/09/2022,TOYOTA,Yaris,5,Hatchback,Diesel,Manual,2005,14,1364,66,90,3200
V_12324,23/01/2001,168292,Grey,Very Bad,Very Bad,04/06/2022,CITROEN,Saxo,5,Hatchback,Petrol,Manual,1996,11,1124,44,60,400
V_12325,23/01/2001,168292,Grey,Very Bad,Very Bad,11/06/2022,CITROEN,Saxo,5,Hatchback,Petrol,Manual,1996,11,1124,44,60,450
V_12326,23/11/2019,146422,Blue,Good,Very Good,30/10/2022,BMW,Serie-5,5,Estate,Diesel,Automatic,2017,20,1995,140,190,27200
V_12327,23/11/2019,35965,Black,Good,Very Good,09/02/1932,MERCEDES-BENZ,Classe C,4,Sedan,Diesel,Automatic,2014,21,2143,125,170,30800
V_12328,23/11/2018,47759,Black,Very Bad,Medium,08/06/2022,FIAT,500,5,Estate,Diesel,Manual,2013,16,1598,88,120,8800
V_12329,23/11/2018,121048,Grey,Good,Very Good,09/05/2022,MINI,Mini,3,Hatchback,Diesel,Manual,2007,16,1598,66,90,8500
V_12330,23/11/2018,121048,Grey,Good,Very Good,25/04/2022,MINI,Mini,3,Hatchback,Diesel,Manual,2007,16,1598,66,90,7900
V_12331,23/11/2018,121048,Grey,Good,Very Good,02/05/2022,MINI,Mini,3,Hatchback,Diesel,Manual,2007,16,1598,66,90,8100
V_12332,23/11/2016,57041,White,Medium,Good,01/07/2022,NISSAN,Qashqai,5,Estate,Diesel,Manual,2013,15,1461,81,110,16200
V_12333,23/11/2016,57041,White,Medium,Good,05/10/2022,NISSAN,Qashqai,5,Estate,Diesel,Manual,2013,15,1461,81,110,15300
V_12334,23/11/2016,92728,Black,Bad,Bad,10/09/2022,VOLVO,V40,5,Hatchback,Diesel,Manual,2012,16,1560,84,115,10800
V_12335,23/11/2016,119679,Black,Bad,Very Good,16/04/2022,VOLKSWAGEN,Golf,5,Estate,Diesel,Manual,2013,16,1598,77,105,10300
V_12336,23/11/2015,104507,Grey,Good,Good,11/05/2022,AUDI,A3,5,Estate,Diesel,Manual,2012,16,1598,77,105,13600
V_12337,23/11/2015,124681,Grey,Bad,Medium,13/04/2022,PEUGEOT,208,5,Hatchback,Petrol,Manual,2012,12,1199,60,82,6100
V_12338,23/11/2015,99621,Red,Very Good,Very Good,23/05/2022,SEAT,Leon,5,Hatchback,Petrol,Manual,2013,14,1395,103,140,13400
V_12339,23/11/2015,117782,Black,Bad,Very Good,03/10/2022,NISSAN,Juke,5,Hatchback,Diesel,Manual,2010,15,1461,81,110,8500
V_12340,23/11/2010,252710,Grey,Very Bad,Bad,03/10/2022,RENAULT,Mégan,5,Estate,Diesel,Manual,2003,15,1461,59,80,1300
V_12341,23/11/2009,169693,Black,Medium,Very Bad,18/04/2022,RENAULT,Clio,3,Hatchback,Petrol,Manual,2005,11,1149,55,75,2200
V_12342,23/11/2009,106584,Black,Very Bad,Bad,31/10/2022,CITROEN,C3,5,Hatchback,Diesel,Manual,2005,14,1398,51,70,3500
V_12343,23/11/2009,356773,Black,Bad,Bad,15/11/2022,PEUGEOT,308,5,Hatchback,Diesel,Manual,2007,16,1560,80,110,2200
V_12344,23/11/2008,180829,Black,Bad,Bad,10/10/2022,VOLVO,V50,5,Estate,Diesel,Manual,2004,16,1560,81,110,2900
V_12345,23/11/2008,133764,Blue,Bad,Bad,15/06/2022,TOYOTA,Yaris,5,Hatchback,Petrol,Manual,2005,10,998,51,69,3500
V_12346,23/11/2007,93960,Black,Very Bad,Bad,30/10/2022,KIA,Rio,5,Estate,Petrol,Manual,2002,13,1343,60,82,1500
V_12347,23/11/2007,212812,Blue,Medium,Very Bad,25/04/2022,VOLKSWAGEN,Polo,5,Hatchback,Petrol,Manual,2005,12,1198,48,65,2400
V_12348,23/11/2007,431363,Black,Medium,Bad,22/06/2022,AUDI,A6,4,Sedan,Diesel,Manual,2004,27,2698,132,180,3900
V_12349,23/11/2007,431363,Black,Medium,Bad,26/06/2022,AUDI,A6,4,Sedan,Diesel,Manual,2004,27,2698,132,180,4200
V_12350,23/11/2007,265302,Black,Bad,Medium,02/11/2022,AUDI,A4,5,Estate,Diesel,Manual,2004,19,1896,85,115,5700
V_12351,23/11/2007,149335,Grey,Medium,Medium,28/08/2022,AUDI,A4,5,Estate,Diesel,Manual,2004,20,1968,103,140,5600
V_12352,23/11/2007,149335,Grey,Medium,Medium,23/08/2022,AUDI,A4,5,Estate,Diesel,Manual,2004,20,1968,103,140,4800
V_12353,23/11/2007,149335,Grey,Medium,Medium,04/06/2022,AUDI,A4,5,Estate,Diesel,Manual,2004,20,1968,103,140,6700
V_12354,23/11/2007,104504,Blue,Medium,Medium,07/12/2022,VOLKSWAGEN,Golf,5,Hatchback,Petrol,Manual,2003,14,1390,66,90,3300
V_12355,23/11/2007,217021,Black,Medium,Very Bad,18/04/2022,PEUGEOT,206,5,Estate,Diesel,Manual,2003,14,1398,50,68,1700
V_12356,23/11/2007,203268,Grey,Bad,Very Bad,23/04/2022,MAZDA,3,5,Hatchback,Petrol,Manual,2003,16,1598,77,105,1800
V_12357,23/11/2007,203268,Grey,Bad,Very Bad,18/04/2022,MAZDA,3,5,Hatchback,Petrol,Manual,2003,16,1598,77,105,1600
V_12358,23/11/2004,170500,Grey,Bad,Very Bad,26/10/2022,FIAT,Stilo,3,Hatchback,Petrol,Manual,2001,16,1596,76,103,700
V_12359,23/11/2004,173160,Grey,Bad,Very Bad,17/05/2022,VOLKSWAGEN,Polo,5,Hatchback,Petrol,Manual,2001,12,1198,48,65,1100
V_12360,23/11/2004,314862,Black,Very Bad,Very Bad,07/09/2022,PEUGEOT,307,5,Hatchback,Diesel,Manual,2001,14,1398,51,69,1100
V_12361,23/11/2003,152712,Grey,Bad,Bad,18/06/2022,VOLKSWAGEN,Lupo,3,Hatchback,Petrol,Manual,1998,10,999,37,50,1000
V_12362,23/11/2003,231727,Grey,Bad,Bad,05/10/2022,HONDA,Civic,4,Sedan,Petrol,Manual,2000,14,1396,66,90,1100
V_12363,23/11/2003,322381,Grey,Very Bad,Very Bad,16/11/2022,FORD,Focus,5,Hatchback,Diesel,Manual,1999,18,1753,66,90,900
V_12364,23/11/2003,243925,Grey,Bad,Bad,26/10/2022,ALFA ROMEO,156,5,Estate,Diesel,Manual,2000,19,1910,81,110,1500
V_12365,23/11/2002,320568,Blue,Medium,Very Bad,17/04/2022,RENAULT,Mégan,5,Hatchback,Petrol,Manual,2000,14,1390,70,95,700
V_12366,23/11/2002,222021,Grey,Bad,Bad,10/12/2022,MITSUBISHI,Lancer,4,Sedan,Petrol,Manual,1998,13,1299,55,75,500
V_12367,23/11/2002,215709,Grey,Bad,Bad,20/04/2022,FORD,Focus,5,Estate,Petrol,Manual,1999,14,1388,55,75,1000
V_12368,23/09/2019,160445,White,Medium,Very Good,27/04/2022,PEUGEOT,308,5,Estate,Diesel,Manual,2014,16,1560,85,115,7700
V_12369,23/09/2017,94287,Grey,Very Good,Very Good,02/05/2022,BMW,Serie-4,2,Coupe,Diesel,Automatic,2013,20,1995,135,184,23600
V_12370,23/09/2017,105076,Grey,Very Bad,Medium,22/11/2022,BMW,Serie-3,4,Sedan,Diesel,Manual,2012,20,1995,105,143,15800
V_12371,23/09/2014,65886,White,Medium,Good,19/12/2022,SMART,Fortwo,3,Coupe,Petrol,Automatic,2012,10,999,52,71,5800
V_12372,23/09/2014,241374,White,Bad,Medium,31/10/2022,VOLKSWAGEN,Up,3,Hatchback,Petrol,Manual,2012,10,999,44,60,3200
V_12373,23/09/2013,175567,Black,Bad,Medium,05/10/2022,MERCEDES-BENZ,Classe E,5,Estate,Diesel,Automatic,2009,21,2143,150,204,14400
V_12374,23/09/2012,92967,Black,Bad,Medium,07/11/2022,VOLKSWAGEN,Polo,5,Hatchback,Diesel,Manual,2009,16,1598,66,90,7300
V_12375,23/09/2012,97075,White,Bad,Medium,26/11/2022,FIAT,500,3,Hatchback,Petrol,Manual,2008,12,1242,51,69,5000
V_12376,23/09/2012,192851,Blue,Medium,Bad,25/05/2022,CITROEN,C4,5,Hatchback,Diesel,Manual,2008,16,1560,66,92,4100
V_12377,23/09/2012,192851,Blue,Medium,Bad,01/06/2022,CITROEN,C4,5,Hatchback,Diesel,Manual,2008,16,1560,66,92,4400
V_12378,23/09/2012,192851,Blue,Medium,Bad,18/05/2022,CITROEN,C4,5,Hatchback,Diesel,Manual,2008,16,1560,66,92,4100
V_12379,23/09/2012,47441,Black,Bad,Medium,02/11/2022,SMART,Fortwo,3,Coupe,Petrol,Automatic,2010,10,999,52,71,4000
V_12380,23/09/2012,181042,Black,Very Bad,Bad,18/06/2022,FORD,Mondeo,5,Estate,Diesel,Manual,2007,18,1753,92,125,5300
V_12381,23/09/2011,189548,Grey,Very Bad,Medium,12/12/2022,MERCEDES-BENZ,Classe C,4,Sedan,Diesel,Manual,2007,21,2143,125,170,11500
V_12382,23/09/2011,226944,Grey,Bad,Bad,18/12/2022,FIAT,Linea,4,Sedan,Diesel,Manual,2007,12,1248,66,90,1700
V_12383,23/09/2011,226944,Grey,Bad,Bad,17/12/2022,FIAT,Linea,4,Sedan,Diesel,Manual,2007,12,1248,66,90,1650
V_12384,23/09/2011,226944,Grey,Bad,Bad,21/12/2022,FIAT,Linea,4,Sedan,Diesel,Manual,2007,12,1248,66,90,1700
V_12385,23/09/2011,104381,Blue,Bad,Good,18/04/2022,RENAULT,Twingo,3,Hatchback,Petrol,Manual,2007,11,1149,55,75,3700
V_12386,23/09/2011,473929,Grey,Bad,Bad,11/05/2022,SKODA,Superb,4,Sedan,Diesel,Manual,2008,20,1968,103,140,3500
V_12387,23/09/2011,473929,Grey,Bad,Bad,14/05/2022,SKODA,Superb,4,Sedan,Diesel,Manual,2008,20,1968,103,140,3500
V_12388,23/09/2011,156446,Black,Medium,Good,30/05/2022,VOLKSWAGEN,Passat,5,Estate,Diesel,Manual,2005,20,1968,81,110,6400
V_12389,23/09/2011,150286,Grey,Medium,Bad,02/05/2022,VOLKSWAGEN,Polo,5,Hatchback,Diesel,Manual,2009,16,1598,66,90,5600
V_12390,23/09/2011,183972,Grey,Medium,Good,26/07/2022,PEUGEOT,308,5,Hatchback,Diesel,Manual,2007,16,1560,80,110,3800
V_12391,23/09/2011,145128,White,Bad,Good,05/11/2022,SEAT,Ibiza,3,Hatchback,Diesel,Manual,2008,14,1422,59,80,4300
V_12392,23/09/2011,82211,Grey,Bad,Medium,30/05/2022,BMW,Serie-3,2,Coupe,Diesel,Automatic,2006,20,1995,130,177,12300
V_12393,23/09/2009,165361,Grey,Very Good,Very Good,16/04/2022,NISSAN,Qashqai,5,Estate,Diesel,Manual,2007,15,1461,78,106,5800
V_12394,23/09/2009,214741,Black,Bad,Bad,17/08/2022,VOLKSWAGEN,Polo,5,Hatchback,Diesel,Manual,2005,14,1422,59,80,3000
V_12395,23/09/2009,172397,Grey,Very Bad,Bad,08/06/2022,PEUGEOT,307,5,Estate,Diesel,Manual,2005,16,1560,66,90,2600
V_12396,23/09/2009,88974,Grey,Very Good,Very Good,30/11/2022,LEXUS,IS,4,Sedan,Diesel,Manual,2005,22,2231,130,177,9500
V_12397,23/09/2009,98174,Black,Very Bad,Good,13/06/2022,CITROEN,C3,5,Hatchback,Petrol,Manual,2005,11,1124,45,61,2500
V_12398,23/09/2009,92535,Grey,Medium,Good,23/05/2022,FORD,Fiesta,5,Hatchback,Petrol,Manual,2005,12,1242,55,75,3300
V_12399,23/09/2008,228903,Blue,Medium,Bad,17/07/2022,PEUGEOT,107,5,Hatchback,Petrol,Manual,2005,10,998,50,68,1700
V_123100,23/09/2008,156098,Black,Very Bad,Good,14/11/2022,PEUGEOT,307,5,Estate,Diesel,Manual,2005,16,1560,66,90,3300
V_123101,23/09/2008,159396,Grey,Very Bad,Medium,20/06/2022,VOLKSWAGEN,Polo,5,Hatchback,Petrol,Manual,2005,12,1198,48,65,2800
V_123102,23/09/2008,235294,Green,Good,Very Bad,16/04/2022,VOLKSWAGEN,Passat,5,Estate,Diesel,Manual,2005,20,1968,125,170,5900
V_123103,23/09/2008,216884,Black,Medium,Bad,13/08/2022,VOLKSWAGEN,Passat,5,Estate,Diesel,Manual,2005,20,1968,103,140,4400
V_123104,23/09/2007,194344,Grey,Bad,Medium,16/04/2022,HONDA,Accord,4,Sedan,Diesel,Manual,2003,22,2204,103,140,3800
V_123105,23/09/2006,179655,Brown,Medium,Bad,25/05/2022,RENAULT,Mégan,5,Hatchback,Diesel,Manual,2002,15,1461,59,80,2200
V_123106,23/09/2003,78059,Grey,Good,Good,30/11/2022,HYUNDAI,Accent,4,Sedan,Petrol,Manual,1999,13,1341,63,85,1100
V_123107,23/09/2001,23909,White,Very Bad,Bad,12/11/2022,CITROEN,Saxo,5,Hatchback,Petrol,Manual,1996,11,1124,44,60,900
V_123108,23/09/2000,274902,Grey,Very Bad,Very Bad,28/09/2022,VOLKSWAGEN,Golf,5,Hatchback,Diesel,Manual,1997,19,1896,81,110,2000
V_123109,23/08/2020,25815,Black,Bad,Very Good,27/11/2022,BMW,Serie-1,5,Hatchback,Diesel,Automatic,2015,15,1496,85,116,22300
V_123110,23/08/2020,43095,Beige,Medium,Good,21/11/2022,CITROEN,C3,5,Hatchback,Petrol,Manual,2017,12,1199,60,82,13500
V_123111,23/08/2020,43095,Beige,Medium,Good,17/12/2022,CITROEN,C3,5,Hatchback,Petrol,Manual,2017,12,1199,60,82,13400
V_123112,23/08/2020,60432,Black,Medium,Very Good,10/12/2022,OPEL,Corsa E,5,Hatchback,Diesel,Manual,2014,12,1248,70,95,9600
V_123113,23/08/2019,95926,Black,Bad,Good,06/11/2022,MINI,Mini,6,Estate,Diesel,Manual,2015,20,1995,110,150,16800
V_123114,23/08/2019,32975,Grey,Very Good,Very Good,02/11/2022,NISSAN,Qashqai,5,Estate,Diesel,Manual,2017,15,1461,81,110,17600
V_123115,23/08/2019,33833,Black,Very Good,Very Good,03/06/2022,VOLVO,V60,5,Estate,Diesel,Automatic,2013,20,1969,88,120,25600
V_123116,23/08/2017,80882,Black,Very Good,Very Good,12/11/2022,BMW,Serie-3,5,Estate,Diesel,Manual,2015,20,1995,85,116,14200
V_123117,23/08/2016,89269,Black,Medium,Good,18/06/2022,RENAULT,Clio,5,Hatchback,Diesel,Manual,2012,15,1461,66,90,8700
V_123118,23/08/2016,89269,Black,Medium,Good,12/06/2022,RENAULT,Clio,5,Hatchback,Diesel,Manual,2012,15,1461,66,90,8300
V_123119,23/08/2015,86172,Brown,Medium,Good,26/10/2022,RENAULT,Captur,5,Hatchback,Diesel,Manual,2013,15,1461,66,90,9300
V_123120,23/08/2015,238678,White,Good,Very Bad,24/08/2022,BMW,Serie-5,5,Estate,Diesel,Manual,2007,20,1995,130,177,9200
V_123121,23/08/2014,271128,Black,Very Bad,Bad,30/05/2022,BMW,Serie-3,4,Sedan,Diesel,Automatic,2012,20,1995,135,184,10800
V_123122,23/08/2014,163797,Grey,Bad,Bad,18/04/2022,NISSAN,Qashqai,5,Estate,Diesel,Manual,2009,15,1461,81,109,9400
V_123123,23/08/2011,157393,Black,Bad,Bad,04/05/2022,PEUGEOT,207,5,Hatchback,Petrol,Manual,2009,14,1397,70,95,3900
V_123124,23/08/2011,267167,Black,Medium,Bad,20/04/2022,PEUGEOT,308,5,Hatchback,Diesel,Manual,2007,16,1560,66,90,3500
V_123125,23/08/2011,243683,Black,Medium,Bad,17/12/2022,RENAULT,Mégan,5,Estate,Diesel,Manual,2009,15,1461,81,110,3800
V_123126,23/08/2011,126981,Grey,Very Bad,Good,06/06/2022,AUDI,A3,5,Estate,Petrol,Manual,2008,14,1390,92,125,7100
V_123127,23/08/2010,202979,Black,Very Bad,Bad,01/11/2022,FIAT,Linea,4,Sedan,Diesel,Manual,2007,12,1248,66,90,2000
V_123128,23/08/2010,228666,White,Medium,Very Bad,25/04/2022,OPEL,Corsa D,5,Hatchback,Diesel,Manual,2006,12,1248,55,75,3300
V_123129,23/08/2010,114076,Grey,Very Bad,Medium,09/07/2022,SKODA,Fabia,5,Hatchback,Diesel,Manual,2007,14,1422,59,80,3100
V_123130,23/08/2010,235265,Black,Bad,Bad,22/10/2022,DACIA,Logan,5,Estate,Diesel,Manual,2008,15,1461,63,85,2150
V_123131,23/08/2010,124260,Blue,Very Bad,Bad,10/12/2022,ALFA ROMEO,159,5,Estate,Diesel,Manual,2006,19,1910,110,150,4800
V_123132,23/08/2010,124260,Blue,Very Bad,Bad,15/11/2022,ALFA ROMEO,159,5,Estate,Diesel,Manual,2006,19,1910,110,150,4900
V_123133,23/08/2010,124260,Blue,Very Bad,Bad,24/10/2022,ALFA ROMEO,159,5,Estate,Diesel,Manual,2006,19,1910,110,150,5000
V_123134,23/08/2010,155740,Black,Bad,Medium,29/11/2022,CITROEN,C5,4,Sedan,Diesel,Manual,2008,20,1997,100,138,3600
V_123135,23/08/2010,155740,Black,Bad,Medium,10/12/2022,CITROEN,C5,4,Sedan,Diesel,Manual,2008,20,1997,100,138,3800
V_123136,23/08/2010,218619,Black,Medium,Bad,06/06/2022,NISSAN,Qashqai,5,Estate,Diesel,Manual,2007,15,1461,78,106,5300
V_123137,23/08/2010,157633,Black,Medium,Medium,09/11/2022,SEAT,Leon,5,Hatchback,Diesel,Manual,2005,19,1896,77,105,5700
V_123138,23/08/2010,66221,Grey,Good,Good,27/09/2022,VOLKSWAGEN,Polo,5,Hatchback,Petrol,Manual,2005,12,1198,51,70,3100
V_123139,23/08/2010,66221,Grey,Good,Good,28/09/2022,VOLKSWAGEN,Polo,5,Hatchback,Petrol,Manual,2005,12,1198,51,70,3300
V_123140,23/08/2010,144426,Blue,Medium,Good,24/04/2022,NISSAN,Qashqai,5,Estate,Diesel,Manual,2007,15,1461,78,106,6400
V_123141,23/08/2009,140603,Red,Bad,Bad,04/06/2022,FIAT,Grande Punto,3,Hatchback,Diesel,Manual,2006,19,1910,96,130,3200
V_123142,23/08/2009,181392,Grey,Bad,Bad,13/08/2022,FIAT,Linea,4,Sedan,Diesel,Manual,2007,12,1248,66,90,1700
V_123143,23/08/2009,181392,Grey,Bad,Bad,16/07/2022,FIAT,Linea,4,Sedan,Diesel,Manual,2007,12,1248,66,90,1500
V_123144,23/08/2009,181392,Grey,Bad,Bad,14/08/2022,FIAT,Linea,4,Sedan,Diesel,Manual,2007,12,1248,66,90,1900
V_123145,23/08/2009,181392,Grey,Bad,Bad,06/08/2022,FIAT,Linea,4,Sedan,Diesel,Manual,2007,12,1248,66,90,1600
V_123146,23/08/2009,181392,Grey,Bad,Bad,07/08/2022,FIAT,Linea,4,Sedan,Diesel,Manual,2007,12,1248,66,90,1600
V_123147,23/08/2009,120807,Grey,Bad,Very Good,11/06/2022,OPEL,Corsa D,5,Hatchback,Petrol,Manual,2006,12,1229,59,80,3500
V_123148,23/08/2008,241795,Grey,Bad,Bad,20/11/2022,OPEL,Astra H,5,Estate,Diesel,Manual,2004,12,1248,66,90,1700
V_123149,23/08/2008,306017,Brown,Very Bad,Bad,23/08/2022,VOLKSWAGEN,Passat,5,Estate,Diesel,Manual,2005,20,1968,103,140,2900
V_123150,23/08/2008,183099,Black,Bad,Bad,21/11/2022,OPEL,Corsa C,3,Hatchback,Diesel,Manual,2003,12,1248,51,70,2200
V_123151,23/08/2008,144336,Grey,Medium,Bad,13/04/2022,RENAULT,Clio,5,Hatchback,Petrol,Manual,2005,11,1149,55,75,3000
V_123152,23/08/2008,424630,Green,Very Bad,Bad,01/06/2022,BMW,Serie-3,5,Estate,Diesel,Manual,2005,20,1995,120,163,3500
V_123153,23/08/2005,373186,Grey,Very Bad,Bad,19/10/2022,FORD,Fiesta,5,Hatchback,Diesel,Manual,2002,14,1399,50,68,800
V_123154,23/08/2005,203918,Blue,Medium,Very Bad,09/05/2022,VOLKSWAGEN,Golf,5,Estate,Petrol,Manual,1999,14,1390,55,75,1500
V_123155,23/08/2005,159315,Grey,Bad,Bad,12/10/2022,SKODA,Fabia,5,Estate,Petrol,Manual,2001,12,1198,47,65,1000
